Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
532851,Stehelčeves,616,392,391,"16,11","0,25","0,00","3,83","0,25","8,69","11,25","1,79","0,51","1,27","0,00","0,00","13,04","0,00","0,25","6,90","20,97","0,00","0,25","1,53","0,00","1,02","0,00","0,00","12,02","0,00"
532860,Stochov,4 432,2 325,2 310,"8,05","0,08","0,00","11,55","0,12","6,53","9,87","0,73","1,86","1,68","0,04","0,04","8,78","0,12","0,08","2,42","30,99","0,08","0,17","1,73","0,08","0,64","0,17","0,25","13,59","0,21"
599441,Stradonice,95,45,45,"11,11","0,00","0,00","6,66","0,00","0,00","17,77","0,00","0,00","2,22","0,00","0,00","4,44","0,00","0,00","2,22","33,33","0,00","2,22","2,22","0,00","0,00","0,00","0,00","17,77","0,00"
551457,Studeněves,357,215,215,"14,41","0,46","0,00","2,32","0,00","7,90","7,44","0,46","1,39","1,39","0,00","0,00","13,48","0,00","0,00","5,11","31,62","0,00","0,00","5,58","0,00","1,39","0,00","0,46","6,51","0,00"
599433,Svárov,429,306,303,"17,16","0,00","0,00","3,96","0,00","15,18","3,30","0,66","0,33","2,64","0,33","0,00","15,51","0,00","0,33","8,25","17,82","0,33","0,00","3,30","0,00","0,66","0,00","0,00","10,23","0,00"
532908,Svinařov,578,364,359,"13,09","0,55","0,00","11,69","0,00","3,06","10,58","0,55","0,55","0,83","0,55","0,00","8,91","0,00","0,00","3,62","32,31","0,27","0,55","1,11","0,00","0,83","0,00","0,00","10,58","0,27"
532916,Šlapanice,143,79,79,"13,92","0,00","0,00","17,72","0,00","1,26","13,92","2,53","2,53","0,00","0,00","0,00","7,59","0,00","0,00","6,32","22,78","0,00","0,00","2,53","0,00","0,00","0,00","0,00","8,86","0,00"
532959,Třebichovice,471,283,283,"12,01","0,35","0,00","2,82","0,00","4,59","10,95","0,70","1,41","0,70","0,00","0,00","8,83","0,00","0,00","4,24","40,98","0,00","0,00","1,41","0,35","1,06","0,35","1,06","7,77","0,35"
532967,Třebíz,190,144,143,"18,88","0,00","0,00","5,59","0,00","3,49","9,79","1,39","1,39","0,69","0,00","0,69","12,58","0,00","0,00","3,49","32,16","0,00","0,00","0,69","0,00","0,00","0,00","0,00","9,09","0,00"
532975,Třebusice,418,246,242,"7,85","0,00","0,00","5,78","0,00","4,54","12,39","2,06","0,41","1,23","0,00","0,00","8,67","0,00","0,41","2,47","35,95","0,00","0,00","1,65","0,00","0,41","0,41","0,41","14,87","0,41"
532983,Tuchlovice,1 983,1 314,1 305,"12,95","0,15","0,15","5,44","0,07","14,09","9,27","1,76","0,61","1,30","0,15","0,00","10,26","0,00","0,00","3,60","28,04","0,15","0,07","1,37","0,00","0,22","0,15","0,07","9,73","0,30"
532177,Tuřany,479,293,292,"8,56","0,00","0,00","5,82","0,34","4,10","10,95","2,05","0,68","1,36","0,00","0,34","13,35","0,00","2,39","1,71","32,19","0,00","0,00","1,02","0,00","0,00","0,00","0,34","14,72","0,00"
533009,Uhy,288,148,148,"10,81","0,00","0,00","5,40","0,67","6,75","12,16","2,70","0,67","2,02","0,00","0,67","11,48","0,00","0,00","2,70","31,08","0,00","0,00","0,00","0,00","2,02","0,00","0,67","9,45","0,67"
533017,Unhošť,3 626,2 396,2 376,"14,52","0,08","0,08","6,90","0,12","4,79","6,43","1,59","0,54","2,35","0,12","0,21","14,35","0,04","0,12","10,18","25,58","0,12","0,16","2,86","0,00","0,63","0,08","0,12","7,70","0,21"
533025,Velká Dobrá,1 365,995,988,"17,71","0,10","0,00","5,36","0,30","6,47","4,95","0,91","1,31","1,31","0,10","0,00","12,34","0,30","0,00","7,38","29,55","0,00","0,30","2,53","0,00","0,70","0,00","0,40","7,79","0,10"
533033,Velké Přítočno,805,535,533,"12,00","0,00","0,00","3,93","0,00","4,87","7,31","1,68","0,56","2,25","0,18","0,18","14,44","0,00","0,00","6,19","29,26","0,00","0,00","1,68","0,56","0,93","0,00","0,18","13,50","0,18"
533041,Velvary,2 472,1 448,1 440,"11,18","0,34","0,00","8,95","0,06","7,98","10,62","2,01","1,45","0,97","0,20","0,06","9,02","0,00","0,00","3,95","27,63","0,06","0,27","2,01","0,13","0,83","0,06","0,34","11,66","0,06"
